address,district,area,bedrooms,garage,type,rent,total,area_z,bedrooms_z,garage_z,standard_score,high_standard,standard_score_type,high_standard_type
Rua Tuiuti,Tatuapé,61,2,1,Apartamento,1900,2882,-0.32272611265915707,0.03257732861801848,-0.05536504964913233,-0.3455138336902709,0,-0.26094329767134244,0
Rua São Lourenço,Vila Vivaldi,64,2,1,Casa,2500,2715,-0.2821875369902152,0.03257732861801848,-0.05536504964913233,-0.3049752580213291,0,-1.372267174402829,0
Rua João Mafra,Vila Brasílio Machado,56,2,2,Apartamento,1900,2700,-0.3902904054407269,0.03257732861801848,0.8278139635038533,0.47010088668114486,0,0.7568379202046435,0
Rua Sebastião Mariano,Vila Carlos de Campos,60,2,1,Casa,1600,1668,-0.336238971215471,0.03257732861801848,-0.05536504964913233,-0.3590266922465849,0,-1.411588968200458,0
Avenida Vila Ema,Vila Prudente,56,2,1,Apartamento,1890,2222,-0.3902904054407269,0.03257732861801848,-0.05536504964913233,-0.4130781264718407,0,-0.3593305190844544,0
Rua Almaden,Vila Andrade,62,2,1,Apartamento,3300,4354,-0.3092132541028431,0.03257732861801848,-0.05536504964913233,-0.332000975133957,0,-0.24126585338872003,0
Avenida Rio Branco,Campos Elíseos,35,1,0,Apartamento,1300,1580,-0.6740604351233201,-1.0421968680895024,-0.9385440628021179,-2.6548013660149405,0,-3.1432607300580333,0
Rua Tanque Velho,Vila Nivi,45,1,0,Casa,500,551,-0.5389318495601805,-1.0421968680895024,-0.9385440628021179,-2.519672780451801,0,-3.1117183231683163,0
Rua Itiúba,Vila Celeste,47,2,0,Casa,1589,1799,-0.5119061324475526,0.03257732861801848,-0.9385440628021179,-1.417872866631652,0,-2.1830446305124944,0
Rua Hanna Abduch,Vila Palmeiras,80,2,0,Casa,2150,2232,-0.06598180008919176,0.03257732861801848,-0.9385440628021179,-0.9719485342732912,0,-1.8586398316820567,0
Avenida Guarulhos,Ponte Grande,45,2,1,Apartamento,1984,2416,-0.5389318495601805,0.03257732861801848,-0.05536504964913233,-0.5617195705912944,0,-0.5757824061933008,0
Rua das Violetas,Vila Marina,52,2,1,Apartamento,1800,1879,-0.44434183966598273,0.03257732861801848,-0.05536504964913233,-0.46712956069709655,0,-0.43804029621494406,0
Rua Sampaio Corrêa,Jardim Pereira Leite,46,2,0,Apartamento,900,1075,-0.5254189910038666,0.03257732861801848,-0.9385440628021179,-1.431385725187966,0,-1.6722734011997766,0
Avenida Sapopemba,Jardim Utinga,45,2,1,Apartamento,1300,1575,-0.5389318495601805,0.03257732861801848,-0.05536504964913233,-0.5617195705912944,0,-0.5757824061933008,0
Avenida São João,República,31,1,0,Apartamento,1300,1350,-0.728111869348576,-1.0421968680895024,-0.9385440628021179,-2.708852800240196,0,-3.221970507188523,0
